LETO,MESEC,TEMPERATURA
2015,10,11
2015,11,6.9
2015,12,2.6
2016,1,1.1
2016,2,5.5
2016,3,7.5
2016,4,12.5
2016,5,15.3
2016,6,20
2016,7,23.2
2016,8,20.6
2016,9,18.3
2016,10,10.3
2016,11,7
2016,12,-0.2
2017,1,-3.2
2017,2,4.5
2017,3,10.2
2017,4,12.1
2017,5,16.9
2017,6,21.7
2017,7,23.2
2017,8,23.2
2017,9,14.3
2017,10,12
2017,11,6.2
2017,12,1.9
2018,1,4.8
2018,2,-0.1
2018,3,4.6
2018,4,15.2
2018,5,18
2018,6,20.9
2018,7,22.3
2018,8,22.8
2018,9,17.6
2018,10,13.2
2018,11,8.3
2018,12,2.2
2019,1,0.7
2019,2,4.9
2019,3,9
2019,4,11.6
2019,5,12.9
2019,6,23.5
2019,7,22.9
2019,8,22.6
2019,9,16.8
2019,10,13.2
2019,11,8.8
2019,12,3.6
2020,1,1.9
2020,2,6.8
2020,3,7.2
2020,4,13
2020,5,15.3
2020,6,19.6
2020,7,21.8
2020,8,22.2
2020,9,17.5
2020,10,11.9
2020,11,5.3
2020,12,2.9
